postcode,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),District,County,TownCity
BD108RD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108RY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SH,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108SL,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108SN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SP,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108SQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108ST,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SU,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108SX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108SY,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108SZ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108TA,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108TB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108TD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108TE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108TF,30.8,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108TN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108TQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108TR,5.6,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108TW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UA,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UE,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UF,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UN,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108UT,20,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108UY,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WA,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WB,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WD,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WE,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WF,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WH,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WJ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WL,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WN,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WP,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WQ,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WR,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WS,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WT,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WU,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WW,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WX,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108WY,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD108XB,0,100,20.6,BRADFORD,West Yorkshire,BRADFORD
BD108XD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108XE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD108XN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AR,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109AS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AT,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109AX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109AY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BW,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109BX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109BY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109DG,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109DW,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109EG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109ER,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109EW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109FG,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109FH,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109FL,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD109HB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109HX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109JD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109JF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109JH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109JJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD109JQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
